route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
10196,2,T381,OWINGS MILLS,,1,335365,L5,0
10196,2,T382,OWINGS MILLS,,1,335366,L5,0
10196,2,T383,OWINGS MILLS,,1,335367,L5,0
10196,2,T384,OWINGS MILLS,,1,335368,L5,0
10196,2,T385,OWINGS MILLS,,1,335369,L5,0
10196,2,T386,OWINGS MILLS,,1,335365,L5,0
10196,2,T387,OWINGS MILLS,,1,335366,L5,0
10196,2,T388,OWINGS MILLS,,1,335367,L5,0
10196,2,T389,OWINGS MILLS,,1,335368,L5,0
10196,2,T390,OWINGS MILLS,,1,335369,L5,0
10196,2,T391,OWINGS MILLS,,1,335365,L5,0
10196,2,T392,OWINGS MILLS,,1,335366,L5,0
10196,2,T393,OWINGS MILLS,,1,335367,L5,0
10196,2,T394,OWINGS MILLS,,1,335368,L5,0
10196,2,T395,OWINGS MILLS,,1,335369,L5,0
10196,2,T396,OWINGS MILLS,,1,335365,L5,0
10196,2,T401,OWINGS MILLS,,1,335369,L5,0
10196,3,T404,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T405,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T406,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T407,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T408,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T409,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T410,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T411,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T412,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T413,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T414,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T415,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T416,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T417,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T418,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T419,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T420,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T421,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T422,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T423,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T424,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T425,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T427,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T428,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T429,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T430,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T431,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T432,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T433,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T434,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T435,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T436,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T437,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T438,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T439,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T440,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T441,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T442,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T443,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T444,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T445,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T446,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T447,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T448,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T449,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T450,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T451,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T452,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T453,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T454,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T455,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T456,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T457,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T458,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T459,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T460,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T461,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T462,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T463,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T464,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T465,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T466,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T467,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T468,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T469,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T470,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T471,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T472,JOHNS HOPKINS,,0,335371,L1,0
10196,3,T473,JOHNS HOPKINS,,0,335372,L1,0
10196,3,T474,JOHNS HOPKINS,,0,335373,L1,0
10196,3,T475,JOHNS HOPKINS,,0,335374,L1,0
10196,3,T476,JOHNS HOPKINS,,0,335370,L1,0
10196,3,T480,OWINGS MILLS,,1,335372,L5,0
10196,3,T481,OWINGS MILLS,,1,335373,L5,0
10196,3,T482,OWINGS MILLS,,1,335374,L5,0
10196,3,T483,OWINGS MILLS,,1,335370,L5,0
10196,3,T484,OWINGS MILLS,,1,335371,L5,0
10196,3,T485,OWINGS MILLS,,1,335372,L5,0
10196,3,T486,OWINGS MILLS,,1,335373,L5,0
10196,3,T487,OWINGS MILLS,,1,335374,L5,0
10196,3,T488,OWINGS MILLS,,1,335370,L5,0
10196,3,T489,OWINGS MILLS,,1,335371,L5,0
10196,3,T490,OWINGS MILLS,,1,335372,L5,0
10196,3,T491,OWINGS MILLS,,1,335373,L5,0
10196,3,T492,OWINGS MILLS,,1,335374,L5,0
10196,3,T493,OWINGS MILLS,,1,335370,L5,0
10196,3,T494,OWINGS MILLS,,1,335371,L5,0
10196,3,T495,OWINGS MILLS,,1,335372,L5,0
10196,3,T496,OWINGS MILLS,,1,335373,L5,0
10196,3,T497,OWINGS MILLS,,1,335374,L5,0
10196,3,T498,OWINGS MILLS,,1,335370,L5,0
10196,3,T499,OWINGS MILLS,,1,335371,L5,0
10196,3,T500,OWINGS MILLS,,1,335372,L5,0
10196,3,T501,OWINGS MILLS,,1,335373,L5,0
10196,3,T502,OWINGS MILLS,,1,335374,L5,0
10196,3,T503,OWINGS MILLS,,1,335370,L5,0
10196,3,T504,OWINGS MILLS,,1,335371,L5,0
10196,3,T505,OWINGS MILLS,,1,335372,L5,0
10196,3,T506,OWINGS MILLS,,1,335373,L5,0
10196,3,T507,OWINGS MILLS,,1,335374,L5,0
10196,3,T508,OWINGS MILLS,,1,335370,L5,0
10196,3,T509,OWINGS MILLS,,1,335371,L5,0
10196,3,T510,OWINGS MILLS,,1,335372,L5,0
10196,3,T511,OWINGS MILLS,,1,335373,L5,0
10196,3,T512,OWINGS MILLS,,1,335374,L5,0
10196,3,T513,OWINGS MILLS,,1,335370,L5,0
10196,3,T514,OWINGS MILLS,,1,335371,L5,0
10196,3,T515,OWINGS MILLS,,1,335372,L5,0
10196,3,T516,OWINGS MILLS,,1,335373,L5,0
10196,3,T517,OWINGS MILLS,,1,335374,L5,0
10196,3,T518,OWINGS MILLS,,1,335370,L5,0
10196,3,T519,OWINGS MILLS,,1,335371,L5,0
10196,3,T520,OWINGS MILLS,,1,335372,L5,0
10196,3,T521,OWINGS MILLS,,1,335373,L5,0
10196,3,T522,OWINGS MILLS,,1,335374,L5,0
10196,3,T523,OWINGS MILLS,,1,335370,L5,0
10196,3,T524,OWINGS MILLS,,1,335371,L5,0
10196,3,T525,OWINGS MILLS,,1,335372,L5,0
10196,3,T526,OWINGS MILLS,,1,335373,L5,0
10196,3,T527,OWINGS MILLS,,1,335374,L5,0
10196,3,T528,OWINGS MILLS,,1,335370,L5,0
10196,3,T529,OWINGS MILLS,,1,335371,L5,0
10196,3,T530,OWINGS MILLS,,1,335372,L5,0
10196,3,T531,OWINGS MILLS,,1,335373,L5,0
10196,3,T532,OWINGS MILLS,,1,335374,L5,0
10196,3,T533,OWINGS MILLS,,1,335370,L5,0
10196,3,T534,OWINGS MILLS,,1,335371,L5,0
10196,3,T535,OWINGS MILLS,,1,335372,L5,0
10196,3,T536,OWINGS MILLS,,1,335373,L5,0
10196,3,T537,OWINGS MILLS,,1,335374,L5,0
10196,3,T538,OWINGS MILLS,,1,335370,L5,0
10196,3,T539,OWINGS MILLS,,1,335371,L5,0
10196,3,T540,OWINGS MILLS,,1,335372,L5,0
10196,3,T541,OWINGS MILLS,,1,335373,L5,0
10196,3,T542,OWINGS MILLS,,1,335374,L5,0
10196,3,T543,OWINGS MILLS,,1,335370,L5,0
10196,3,T544,OWINGS MILLS,,1,335371,L5,0
10196,3,T545,OWINGS MILLS,,1,335372,L5,0
10196,3,T546,OWINGS MILLS,,1,335373,L5,0
10196,3,T547,OWINGS MILLS,,1,335374,L5,0
10196,3,T548,OWINGS MILLS,,1,335370,L5,0
10196,3,T549,OWINGS MILLS,,1,335371,L5,0
10196,3,T550,OWINGS MILLS,,1,335372,L5,0
10196,3,T555,OWINGS MILLS,,1,335371,L5,0
10210,1,T572,HUNT VALLEY,,0,335484,L16,0
10210,1,T573,HUNT VALLEY,,0,335485,L16,0
10210,1,T574,HUNT VALLEY,,0,335486,L16,0
10210,1,T575,HUNT VALLEY,,0,335487,L16,0
10210,1,T576,HUNT VALLEY,,0,335473,L16,0
10210,1,T577,HUNT VALLEY,,0,335488,L16,0
10210,1,T578,HUNT VALLEY,,0,335489,L16,0
10210,1,T579,HUNT VALLEY,,0,335474,L16,0
10210,1,T581,HUNT VALLEY,,0,335489,L16,0
10210,1,T582,HUNT VALLEY,,0,335478,L16,0
10210,1,T583,HUNT VALLEY,,0,335484,L16,0
10210,1,T584,HUNT VALLEY,,0,335486,L16,0
10210,1,T585,HUNT VALLEY,,0,335473,L16,0
10210,1,T586,HUNT VALLEY,,0,335488,L16,0
10210,1,T587,HUNT VALLEY,,0,335489,L16,0
10210,1,T594,HUNT VALLEY,,0,335488,L16,0
10210,1,T596,HUNT VALLEY,,0,335473,L16,0
10210,1,T600,HUNT VALLEY,,0,335486,L16,0
10210,1,T601,HUNT VALLEY,,0,335484,L16,0
10210,1,T605,HUNT VALLEY,,0,335490,L16,0
10210,1,T606,HUNT VALLEY,,0,335478,L16,0
10210,1,T607,HUNT VALLEY,,0,335484,L16,0
10210,1,T608,HUNT VALLEY,,0,335491,L16,0
10210,1,T609,HUNT VALLEY,,0,335486,L16,0
10210,1,T610,HUNT VALLEY,,0,335473,L16,0
10210,1,T615,HUNT VALLEY,,0,335489,L16,0
10210,1,T620,HUNT VALLEY,,0,335490,L16,0
10210,1,T621,HUNT VALLEY,,0,335478,L16,0
10210,1,T622,HUNT VALLEY,,0,335491,L16,0
10210,1,T623,HUNT VALLEY,,0,335486,L16,0
10210,1,T624,HUNT VALLEY,,0,335492,L16,0
10210,1,T637,HUNT VALLEY,,0,335489,L16,0
10210,1,T638,HUNT VALLEY,,0,335490,L16,0
10210,1,T639,HUNT VALLEY,,0,335478,L16,0
10210,1,T640,HUNT VALLEY,,0,335491,L16,0
10210,1,T641,HUNT VALLEY,,0,335486,L16,0
10210,1,T642,HUNT VALLEY,,0,335492,L16,0
10210,1,T643,HUNT VALLEY,,0,335489,L16,0
10210,1,T646,HUNT VALLEY,,0,335490,L16,0
10210,1,T647,HUNT VALLEY,,0,335478,L16,0
10210,1,T708,BWI AIRPORT,,1,335478,L23,0
10210,1,T709,BWI AIRPORT,,1,335484,L23,0
10210,1,T713,BWI AIRPORT,,1,335491,L23,0
10210,1,T714,BWI AIRPORT,,1,335486,L23,0
10210,1,T715,BWI AIRPORT,,1,335473,L23,0
10210,1,T717,BWI AIRPORT,,1,335492,L23,0
10210,1,T721,BWI AIRPORT,,1,335489,L23,0
10210,1,T722,BWI AIRPORT,,1,335490,L23,0
10210,1,T723,BWI AIRPORT,,1,335478,L23,0
10210,1,T724,BWI AIRPORT,,1,335491,L23,0
10210,1,T737,BWI AIRPORT,,1,335486,L23,0
10210,1,T738,BWI AIRPORT,,1,335492,L23,0
10210,1,T739,BWI AIRPORT,,1,335489,L23,0
10210,1,T740,BWI AIRPORT,,1,335490,L23,0
10210,1,T741,BWI AIRPORT,,1,335490,L23,0
10210,1,T745,BWI AIRPORT,,1,335489,L23,0
10210,1,T746,BWI AIRPORT,,1,335488,L23,0
10210,1,T747,BWI AIRPORT,,1,335473,L23,0
10210,1,T748,BWI AIRPORT,,1,335486,L23,0
10210,1,T757,BWI AIRPORT,,1,335478,L23,0
10210,1,T758,BWI AIRPORT,,1,335489,L23,0
10210,1,T759,BWI AIRPORT,,1,335488,L23,0
10210,1,T760,BWI AIRPORT,,1,335473,L23,0
10210,1,T761,BWI AIRPORT,,1,335486,L23,0
10210,1,T762,BWI AIRPORT,,1,335484,L23,0
10210,1,T763,BWI AIRPORT,,1,335478,L23,0
10210,1,T764,BWI AIRPORT,,1,335474,L23,0
10210,1,T775,BWI AIRPORT,,1,335489,L23,0
10210,1,T776,BWI AIRPORT,,1,335488,L23,0
10210,1,T777,BWI AIRPORT,,1,335473,L23,0
10210,1,T778,BWI AIRPORT,,1,335487,L23,0
10210,1,T779,BWI AIRPORT,,1,335486,L23,0
10210,1,T780,BWI AIRPORT,,1,335485,L23,0
10210,1,T781,BWI AIRPORT,,1,335484,L23,0
10210,1,T782,BWI AIRPORT,,1,335475,L23,0
10210,1,T783,BWI AIRPORT,,1,335474,L23,0
10210,1,T828,BWI AIRPORT,,1,335484,L23,0
10210,1,T839,BWI AIRPORT,,1,335489,L23,0
10210,1,T840,BWI AIRPORT,,1,335478,L23,0
10210,1,T841,BWI AIRPORT,,1,335491,L23,0
10210,1,T842,BWI AIRPORT,,1,335486,L23,0
10210,1,T843,BWI AIRPORT,,1,335492,L23,0
10210,1,T859,BWI AIRPORT,,1,335488,L23,0
10210,1,T860,BWI AIRPORT,,1,335473,L23,0
10210,2,T862,HUNT VALLEY,,0,335497,L16,0
10210,2,T863,HUNT VALLEY,,0,335498,L16,0
10210,2,T864,HUNT VALLEY,,0,335499,L16,0
10210,2,T865,HUNT VALLEY,,0,335500,L16,0
10210,2,T866,HUNT VALLEY,,0,335501,L16,0
10210,2,T867,HUNT VALLEY,,0,335502,L16,0
10210,2,T868,HUNT VALLEY,,0,335497,L16,0
10210,2,T869,HUNT VALLEY,,0,335498,L16,0
10210,2,T870,HUNT VALLEY,,0,335499,L16,0
10210,2,T919,HUNT VALLEY,,0,335500,L16,0
10210,2,T920,HUNT VALLEY,,0,335501,L16,0
10210,2,T921,HUNT VALLEY,,0,335502,L16,0
10210,2,T922,HUNT VALLEY,,0,335497,L16,0
10210,2,T923,HUNT VALLEY,,0,335498,L16,0
10210,2,T924,HUNT VALLEY,,0,335499,L16,0
10210,2,T925,HUNT VALLEY,,0,335500,L16,0
10210,2,T926,HUNT VALLEY,,0,335501,L16,0
10210,2,T927,HUNT VALLEY,,0,335502,L16,0
10210,2,T963,HUNT VALLEY,,0,335502,L16,0
10210,2,T964,HUNT VALLEY,,0,335497,L16,0
10210,2,T965,HUNT VALLEY,,0,335498,L16,0
10210,2,T966,HUNT VALLEY,,0,335499,L16,0
10210,2,T967,HUNT VALLEY,,0,335500,L16,0
10210,2,T968,HUNT VALLEY,,0,335501,L16,0
10210,2,T969,HUNT VALLEY,,0,335502,L16,0
10210,2,T970,HUNT VALLEY,,0,335497,L16,0
10210,2,T971,HUNT VALLEY,,0,335498,L16,0
10210,2,T972,HUNT VALLEY,,0,335499,L16,0
10210,2,T973,HUNT VALLEY,,0,335500,L16,0
10210,2,T974,HUNT VALLEY,,0,335501,L16,0
10210,2,T975,HUNT VALLEY,,0,335502,L16,0
10210,2,T976,HUNT VALLEY,,0,335497,L16,0
10210,2,T977,HUNT VALLEY,,0,335498,L16,0
10210,2,T978,HUNT VALLEY,,0,335499,L16,0
10210,2,T979,HUNT VALLEY,,0,335500,L16,0
10210,2,T980,HUNT VALLEY,,0,335501,L16,0
10210,2,T981,HUNT VALLEY,,0,335502,L16,0
10210,2,T982,BWI AIRPORT,,1,335502,L23,0
10210,2,T983,BWI AIRPORT,,1,335497,L23,0
10210,2,T984,BWI AIRPORT,,1,335498,L23,0
10210,2,T985,BWI AIRPORT,,1,335499,L23,0
10210,2,T986,BWI AIRPORT,,1,335500,L23,0
10210,2,T987,BWI AIRPORT,,1,335501,L23,0
10210,2,T988,BWI AIRPORT,,1,335502,L23,0
10210,2,T989,BWI AIRPORT,,1,335497,L23,0
10210,2,T990,BWI AIRPORT,,1,335498,L23,0
10210,2,T991,BWI AIRPORT,,1,335499,L23,0
10210,2,T992,BWI AIRPORT,,1,335500,L23,0
10210,2,T993,BWI AIRPORT,,1,335501,L23,0
10210,2,T994,BWI AIRPORT,,1,335502,L23,0
10210,2,T1002,BWI AIRPORT,,1,335501,L23,0
10210,2,T1003,BWI AIRPORT,,1,335502,L23,0
10210,2,T1004,BWI AIRPORT,,1,335497,L23,0
10210,2,T1005,BWI AIRPORT,,1,335498,L23,0
10210,2,T1006,BWI AIRPORT,,1,335499,L23,0
10210,2,T1019,BWI AIRPORT,,1,335500,L23,0
10210,2,T1020,BWI AIRPORT,,1,335501,L23,0
10210,2,T1021,BWI AIRPORT,,1,335502,L23,0
10210,2,T1022,BWI AIRPORT,,1,335497,L23,0
10210,2,T1023,BWI AIRPORT,,1,335498,L23,0
10210,2,T1024,BWI AIRPORT,,1,335499,L23,0
10210,2,T1025,BWI AIRPORT,,1,335500,L23,0
10210,2,T1026,BWI AIRPORT,,1,335501,L23,0
10210,2,T1027,BWI AIRPORT,,1,335497,L23,0
10210,2,T1028,BWI AIRPORT,,1,335498,L23,0
10210,2,T1029,BWI AIRPORT,,1,335499,L23,0
10210,2,T1030,BWI AIRPORT,,1,335500,L23,0
10210,2,T1031,BWI AIRPORT,,1,335501,L23,0
10210,2,T1032,BWI AIRPORT,,1,335502,L23,0
10210,2,T1033,BWI AIRPORT,,1,335497,L23,0
10210,2,T1034,BWI AIRPORT,,1,335498,L23,0
10210,2,T1035,BWI AIRPORT,,1,335499,L23,0
10210,3,T1136,HUNT VALLEY,,0,335520,L16,0
10210,3,T1137,HUNT VALLEY,,0,335521,L16,0
10210,3,T1138,HUNT VALLEY,,0,335522,L16,0
10210,3,T1139,HUNT VALLEY,,0,335512,L16,0
10210,3,T1140,HUNT VALLEY,,0,335515,L16,0
10210,3,T1141,HUNT VALLEY,,0,335516,L16,0
10210,3,T1142,HUNT VALLEY,,0,335520,L16,0
10210,3,T1143,HUNT VALLEY,,0,335521,L16,0
10210,3,T1144,HUNT VALLEY,,0,335522,L16,0
10210,3,T1145,HUNT VALLEY,,0,335512,L16,0
10210,3,T1146,HUNT VALLEY,,0,335515,L16,0
10210,3,T1147,HUNT VALLEY,,0,335516,L16,0
10210,3,T1148,HUNT VALLEY,,0,335520,L16,0
10210,3,T1149,HUNT VALLEY,,0,335521,L16,0
10210,3,T1150,HUNT VALLEY,,0,335522,L16,0
10210,3,T1151,HUNT VALLEY,,0,335512,L16,0
10210,3,T1152,HUNT VALLEY,,0,335515,L16,0
10210,3,T1153,HUNT VALLEY,,0,335516,L16,0
10210,3,T1154,HUNT VALLEY,,0,335520,L16,0
10210,3,T1203,BWI AIRPORT,,1,335512,L23,0
10210,3,T1204,BWI AIRPORT,,1,335515,L23,0
10210,3,T1205,BWI AIRPORT,,1,335516,L23,0
10210,3,T1206,BWI AIRPORT,,1,335520,L23,0
10210,3,T1207,BWI AIRPORT,,1,335521,L23,0
10210,3,T1208,BWI AIRPORT,,1,335522,L23,0
10210,3,T1209,BWI AIRPORT,,1,335512,L23,0
10210,3,T1210,BWI AIRPORT,,1,335515,L23,0
10210,3,T1211,BWI AIRPORT,,1,335516,L23,0
10210,3,T1212,BWI AIRPORT,,1,335520,L23,0
10210,3,T1213,BWI AIRPORT,,1,335521,L23,0
10210,3,T1214,BWI AIRPORT,,1,335522,L23,0
10210,3,T1215,BWI AIRPORT,,1,335512,L23,0
10210,3,T1216,BWI AIRPORT,,1,335515,L23,0
10210,3,T1217,BWI AIRPORT,,1,335516,L23,0
10210,3,T1218,BWI AIRPORT,,1,335520,L23,0
10210,3,T1219,BWI AIRPORT,,1,335521,L23,0
10210,3,T1220,BWI AIRPORT,,1,335522,L23,0
10222,1,T1262,UNION STATION,,0,335747,L40,0
10222,1,T1273,MARTINSBURG STA,,1,335758,L51,0
10223,1,T1297,WASHINGTON LOCAL ,Train 511,0,335784,L75,0
10223,1,T1311,PERRYVILLE LOCAL ,Train 548,1,335798,L89,0
10224,1,T1367,WASHINGTON UNION STATION ,TRAIN 849,0,335852,L143,0
10224,1,T1378,BALTIMORE CAMDEN STATION ,TRAIN 850,1,335859,L153,0
