block_id,length,default_speed_limit,accelerate_rate,decelerate_rate
1,2816.7850452568964,70,1.1,1.1
2,3956.9597754713805,70,1.1,1.1
3,2144.443291087239,70,1.1,1.1
4,1412.9226153084385,70,1.1,1.1
5,1781.5743853433742,70,1.1,1.1
6,2553.2707494303913,70,1.1,1.1
7,2185.7516451603947,70,1.1,1.1
8,1033.3906576725851,70,1.1,1.1
9,1160.494360608685,70,1.1,1.1
10,1448.2870711251317,70,1.1,1.1
11,941.3334909032337,70,1.1,1.1
12,730.8324453621121,70,1.1,1.1
13,1256.5451849879332,70,1.1,1.1
14,815.0689033312258,70,1.1,1.1
15,9079.866099881849,70,1.1,1.1
16,13057.5896319133,70,1.1,1.1
17,6585.342360536728,70,1.1,1.1
18,5043.832974255562,70,1.1,1.1
19,8681.286051260264,70,1.1,1.1
20,11001.780604869622,70,1.1,1.1
21,5662.924398915366,70,1.1,1.1
22,5662.9243989153665,70,1.1,1.1
23,11001.780604869626,70,1.1,1.1
24,8681.286051260266,70,1.1,1.1
25,5043.832974255562,70,1.1,1.1
26,6585.342360536728,70,1.1,1.1
27,13057.589631913297,70,1.1,1.1
28,9079.866099881852,70,1.1,1.1
29,640.3428858279414,70,1.1,1.1
30,2200.216832714335,70,1.1,1.1
31,2250.1443631755455,70,1.1,1.1
32,1335.9063618456307,70,1.1,1.1
33,1345.9374855935948,70,1.1,1.1
34,967.2731323299149,70,1.1,1.1
35,1224.0845373946954,70,1.1,1.1
36,1366.1320719135495,70,1.1,1.1
37,1458.4301081043518,70,1.1,1.1
38,1260.4219456226117,70,1.1,1.1
39,452.1648199348027,70,1.1,1.1
40,427.97202559612083,70,1.1,1.1
41,253.30461292248413,70,1.1,1.1
42,271.3763268842955,70,1.1,1.1
43,840.1596772555756,70,1.1,1.1
44,509.8497106116516,70,1.1,1.1
45,544.1634230753748,70,1.1,1.1
46,352.76672322270554,70,1.1,1.1
47,1529.3390455635813,70,1.1,1.1
48,2280.7408522888963,70,1.1,1.1
49,2060.8235840743905,70,1.1,1.1
50,1875.2972494411395,70,1.1,1.1
51,3987.1338828622,70,1.1,1.1
52,3948.0277840145004,70,1.1,1.1
53,1051.7337424792609,70,1.1,1.1
54,2623.4839960328054,70,1.1,1.1
55,2662.7627079113813,70,1.1,1.1
56,1250.0549967497668,70,1.1,1.1
57,717.8992524458339,70,1.1,1.1
58,588.0388731548271,70,1.1,1.1
59,324.5673236499414,70,1.1,1.1
60,324.56732364994133,70,1.1,1.1
61,588.038873154827,70,1.1,1.1
62,717.8992524458339,70,1.1,1.1
63,1250.0549967497666,70,1.1,1.1
64,2662.7627079113813,70,1.1,1.1
65,2623.483996032805,70,1.1,1.1
66,1051.7337424792606,70,1.1,1.1
67,3948.0277840145013,70,1.1,1.1
68,3987.1338828621983,70,1.1,1.1
69,1875.2972494411392,70,1.1,1.1
70,2060.8235840743905,70,1.1,1.1
71,2280.7408522888954,70,1.1,1.1
72,1529.3390455635813,70,1.1,1.1
73,352.76672322270565,70,1.1,1.1
74,544.1634230753746,70,1.1,1.1
75,509.8497106116515,70,1.1,1.1
76,840.1596772555756,70,1.1,1.1
77,271.3763268842955,70,1.1,1.1
78,253.30461292248413,70,1.1,1.1
79,427.9720255961209,70,1.1,1.1
80,452.1648199348027,70,1.1,1.1
81,1260.4219456226115,70,1.1,1.1
82,1458.4301081043516,70,1.1,1.1
83,1366.1320719135492,70,1.1,1.1
84,1224.0845373946954,70,1.1,1.1
85,967.2731323299148,70,1.1,1.1
86,1345.937485593595,70,1.1,1.1
87,1335.9063618456307,70,1.1,1.1
88,2250.1443631755455,70,1.1,1.1
89,2200.216832714335,70,1.1,1.1
90,640.3428858279415,70,1.1,1.1
91,9643.666467875972,70,1.1,1.1
92,14743.76224477903,70,1.1,1.1
93,9999.606154890147,70,1.1,1.1
94,10286.81381446662,70,1.1,1.1
95,13750.13909828425,70,1.1,1.1
96,12689.1308629966,70,1.1,1.1
97,7705.193365809908,70,1.1,1.1
98,3504.169047714257,70,1.1,1.1
99,5761.825333712443,70,1.1,1.1
100,8720.382497258553,70,1.1,1.1
101,7091.275718573633,70,1.1,1.1
102,8326.825801647392,70,1.1,1.1
103,5811.1046354613645,70,1.1,1.1
104,815.0689033312259,70,1.1,1.1
105,1256.5451849879332,70,1.1,1.1
106,730.8324453621121,70,1.1,1.1
107,941.3334909032338,70,1.1,1.1
108,1448.2870711251317,70,1.1,1.1
109,1160.4943606086856,70,1.1,1.1
110,1033.3906576725853,70,1.1,1.1
111,2185.751645160395,70,1.1,1.1
112,2553.270749430391,70,1.1,1.1
113,1781.5743853433735,70,1.1,1.1
114,1412.9226153084387,70,1.1,1.1
115,2144.443291087239,70,1.1,1.1
116,3956.9597754713805,70,1.1,1.1
117,2816.7850452568964,70,1.1,1.1
118,5811.1046354613645,70,1.1,1.1
119,8326.82580164739,70,1.1,1.1
120,7091.275718573635,70,1.1,1.1
121,8720.382497258553,70,1.1,1.1
122,5761.8253337124415,70,1.1,1.1
123,3504.169047714258,70,1.1,1.1
124,7705.193365809905,70,1.1,1.1
125,12689.130862996604,70,1.1,1.1
126,13750.13909828425,70,1.1,1.1
127,10286.813814466623,70,1.1,1.1
128,9999.606154890153,70,1.1,1.1
129,14743.762244779035,70,1.1,1.1
130,9643.666467875968,70,1.1,1.1
131,4837.474142736274,70,1.1,1.1
132,12655.631126562601,70,1.1,1.1
133,14490.054957195292,70,1.1,1.1
134,16784.068617529876,70,1.1,1.1
135,11820.742895021835,70,1.1,1.1
136,5767.534402365705,70,1.1,1.1
137,6087.195076282953,70,1.1,1.1
138,8929.885499048469,70,1.1,1.1
139,10295.833312934394,70,1.1,1.1
140,8716.867240528807,70,1.1,1.1
141,6593.475907609162,70,1.1,1.1
142,9050.205294149066,70,1.1,1.1
143,6742.738366109632,70,1.1,1.1
144,6742.738366109632,70,1.1,1.1
145,9050.205294149062,70,1.1,1.1
146,6593.475907609164,70,1.1,1.1
147,8716.867240528809,70,1.1,1.1
148,10295.833312934392,70,1.1,1.1
149,8929.885499048465,70,1.1,1.1
150,6087.195076282951,70,1.1,1.1
151,5767.534402365707,70,1.1,1.1
152,11820.742895021845,70,1.1,1.1
153,16784.068617529876,70,1.1,1.1
154,14490.054957195292,70,1.1,1.1
155,12655.6311265626,70,1.1,1.1
156,4837.474142736274,70,1.1,1.1
