"shapeid","x","y"
"0","235658.285699","891523.124968"
"0","235662.403181","891542.88732"
"0","235667.304279","891568.825549"
"1","235648.943882","891175.947236"
"1","235665.695182","891120.966936"
"2","235707.047724","891772.977938"
"2","235721.504009","891843.625302"
"2","235731.508197","891890.283186"
"3","235804.206793","891432.463384"
"3","235845.411304","891452.481008"
"3","235900.234016","891478.091513"
"3","235947.34285","891501.67916"
"3","235948.987316","891502.534044"
"4","234875.057855","890675.150496"
"4","234836.061055","890606.013496"
"5","235686.932168","891669.835818"
"5","235700.995898","891741.483515"
"5","235702.101265","891747.500244"
"6","235510.760672","892115.876722"
"6","235512.341651","892106.672023"
"6","235515.764449","892089.166911"
"6","235514.879922","892073.007938"
"6","235514.145226","892068.396723"
"7","235648.829341","891393.801001"
"7","235654.827713","891394.221223"
"7","235671.505877","891397.884922"
"7","235691.487421","891401.407435"
"7","235714.817625","891403.739091"
"7","235742.603547","891406.450185"
"7","235757.68696","891410.233194"
"8","234822.658106","890583.915853"
"8","234817.672498","890576.253951"
"8","234797.029696","890539.620982"
"9","235511.565856","892052.602329"
"9","235509.038256","892038.594029"
"10","235773.360098","891417.343764"
"10","235789.142998","891425.121664"
"11","235208.815841","891082.978109"
"11","235208.301275","891080.992396"
"11","235205.548322","891073.572756"
"11","235200.080867","891063.532418"
"11","235183.72739","891043.15979"
"11","235169.937871","891029.593946"
"12","235608.904072","891396.627567"
"12","235621.939373","891393.271259"
"12","235630.937869","891393.01948"
"13","234958.109332","890822.859913"
"13","234887.813032","890697.802913"
"14","235536.481586","891419.504539"
"14","235553.292686","891413.474106"
"14","235591.700284","891401.288848"
"15","235150.97359","891012.022017"
"15","235127.02999","890991.131817"
"16","235509.366295","892016.430182"
"16","235512.292695","892031.529082"
"17","235107.44828","890974.022711"
"17","235071.37767","890942.461502"
"17","235039.170321","890912.964044"
"17","235003.731336","890880.872201"
"17","234984.108932","890861.057053"
"17","234972.42633","890844.822944"
"18","235481.388711","891667.790592"
"18","235483.372015","891677.826562"
"18","235502.774203","891774.155034"
"19","235175.829788","891283.382142"
"19","235186.251288","891245.448542"
"20","235497.739358","892146.922903"
"20","235504.488314","892133.241597"
"20","235505.603978","892131.059596"
"21","235508.933917","891956.900624"
"21","235505.550285","891969.011775"
"21","235506.021468","891987.469502"
"21","235507.397872","892000.458095"
"22","235204.112598","891165.230158"
"22","235205.206304","891159.50005"
"22","235207.573924","891148.285473"
"22","235212.611358","891122.857649"
"22","235212.819321","891113.610105"
"22","235212.959677","891107.891196"
"23","234727.368445","891536.224523"
"23","234724.277945","891546.767423"
"24","235464.867369","891572.59843"
"24","235464.05326","891580.100814"
"24","235476.346877","891642.283921"
"25","235192.772618","891220.347043"
"25","235196.484348","891205.195384"
"25","235199.087093","891190.757619"
"26","234713.385837","891570.787286"
"26","234702.857463","891587.346966"
"26","234693.426059","891600.028375"
"26","234680.732624","891613.365646"
"26","234661.104813","891630.218885"
"26","234616.736304","891669.141095"
"26","234608.733577","891680.338304"
"26","234604.783571","891689.987892"
"26","234603.879881","891699.328228"
"26","234606.205954","891724.63786"
"26","234608.938755","891746.268579"
"27","235508.164515","891799.540535"
"27","235515.808115","891833.769535"
"28","235520.850624","891859.383535"
"28","235522.993166","891871.936196"
"28","235525.342474","891887.38899"
"28","235524.934034","891900.326132"
"28","235519.320201","891919.102236"
"28","235515.853644","891931.823554"
"29","234679.071514","890292.228989"
"29","234667.252787","890261.961334"
"29","234646.865815","890214.108727"
"29","234624.047584","890157.359836"
"29","234614.248059","890135.078517"
"29","234604.384538","890109.251918"
"29","234597.205229","890072.896907"
"30","235476.260945","891523.052123"
"30","235469.086406","891546.127407"
"30","235468.882547","891547.140048"
"31","234784.022951","890517.172675"
"31","234766.107388","890487.089995"
"31","234753.796933","890464.733096"
"31","234737.408729","890431.223362"
"31","234712.089843","890371.026058"
"31","234690.669738","890315.244172"
"32","235514.928045","891434.527926"
"32","235512.708249","891435.829302"
"32","235503.973312","891449.469327"
"32","235484.79033","891498.675453"
"33","235193.7944","891778.544924"
"33","235188.539986","891781.467247"
"33","235158.92313","891798.190398"
"34","235281.453378","891713.883173"
"34","235254.006324","891735.26741"
"34","235215.988947","891764.068756"
"35","235419.818471","891606.154111"
"35","235414.021934","891610.653429"
"35","235366.986317","891647.180169"
"35","235301.960732","891697.896983"
"36","235457.49146","891571.322199"
"36","235445.688673","891582.630373"
"36","235439.656754","891588.6607"
"37","234601.291864","890928.404597"
"37","234570.410664","890914.362597"
"38","236372.922819","892256.909128"
"38","236348.424224","892187.598722"
"38","236329.898746","892129.851708"
"39","236321.683955","892105.241065"
"39","236315.932616","892088.660563"
"39","236313.336116","892080.090633"
"39","236300.502682","892042.686496"
"40","236291.573906","892018.377025"
"40","236288.958206","892011.702097"
"40","236277.949763","891975.735096"
"40","236273.325988","891966.072073"
"41","236264.8681","891953.288399"
"41","236256.954","891942.750899"
"42","234770.389352","891410.837624"
"42","234766.386308","891431.506248"
"42","234760.787356","891445.761452"
"43","236131.556131","891719.649738"
"43","236114.803728","891696.075601"
"43","236099.558779","891671.516644"
"43","236077.010271","891636.472809"
"43","236057.306398","891608.877068"
"43","236033.364678","891583.198746"
"43","236004.885143","891552.359991"
"43","235980.613999","891530.68075"
"43","235968.131603","891520.490447"
"44","234773.199599","891347.386428"
"44","234773.160999","891384.699428"
"45","236248.772626","891928.87386"
"45","236245.41514","891922.836631"
"45","236227.866238","891897.157418"
"45","236214.863248","891871.115655"
"45","236204.24232","891845.668742"
"45","236185.633234","891801.490772"
"45","236165.490595","891766.073574"
"45","236146.82206","891740.743081"
"46","234750.291422","891469.717546"
"46","234748.584444","891473.236724"
"46","234737.960431","891500.112514"
"46","234734.68509","891511.275851"
"47","235625.130883","891264.014316"
"47","235623.388309","891269.841725"
"47","235622.532146","891282.131062"
"47","235623.760794","891291.144682"
"47","235624.709499","891295.395138"
"47","235625.169605","891297.510655"
"47","235633.750811","891323.563058"
"47","235640.710622","891345.894063"
"47","235643.491831","891365.648107"
"47","235640.624379","891382.79364"
"48","235645.33422","891202.083463"
"48","235632.94212","891239.291663"
"49","235692.517991","891035.813486"
"49","235677.005691","891097.135886"
"50","235669.999818","891122.278464"
"50","235653.248518","891177.258764"
"51","234839.980545","890603.802704"
"51","234878.977345","890672.939704"
"52","235518.589174","892067.688677"
"52","235519.360478","892072.529662"
"52","235520.288351","892089.480489"
"52","235516.767949","892107.484777"
"52","235515.195728","892116.638478"
"53","234800.950104","890537.411818"
"53","234821.522502","890573.919849"
"53","234826.429894","890581.461547"
"54","235513.466744","892037.794971"
"54","235515.994344","892051.803271"
"55","235173.093729","891026.386054"
"55","235187.07141","891040.13701"
"55","235203.841133","891061.028182"
"55","235209.654878","891071.704444"
"55","235212.599925","891079.641804"
"55","235213.171959","891081.849291"
"56","234891.735768","890695.597887"
"56","234962.032068","890820.654887"
"57","235129.98841","890987.740983"
"57","235153.93201","891008.631183"
"58","234976.07887","890842.194456"
"58","234987.555068","890858.141747"
"58","235006.842664","890877.618799"
"58","235042.200279","890909.636956"
"58","235074.37933","890939.108498"
"58","235110.41152","890970.636089"
"59","235190.590512","891246.640658"
"59","235180.169012","891284.574258"
"60","235509.610622","892133.108204"
"60","235508.509686","892135.261403"
"60","235501.775042","892148.913697"
"61","235217.458323","891108.001604"
"61","235217.318079","891113.715895"
"61","235217.101442","891123.349151"
"61","235211.982676","891149.187527"
"61","235209.618296","891160.38675"
"61","235208.532802","891166.073842"
"62","235203.515707","891191.555981"
"62","235200.888252","891206.130816"
"62","235197.143382","891221.417757"
"63","234601.619971","890072.025093"
"63","234608.725062","890108.004282"
"63","234618.412141","890133.368883"
"63","234628.195816","890155.614164"
"63","234651.023785","890212.387273"
"63","234671.419613","890260.260666"
"63","234683.263286","890290.592211"
"64","234694.870662","890313.631028"
"64","234716.265357","890369.346742"
"64","234741.507271","890429.361038"
"64","234757.791467","890462.658104"
"64","234770.012612","890484.852805"
"64","234787.889249","890514.870125"
"65","235154.98967","891791.224202"
"65","235184.629014","891774.488353"
"65","235189.906","891771.553476"
"66","235211.158053","891757.692044"
"66","235249.132276","891728.92339"
"66","235276.536622","891707.572427"
"67","235297.040668","891691.588817"
"67","235362.072883","891640.866831"
"67","235409.115866","891604.334371"
"67","235414.913129","891599.834489"
"68","235434.000646","891583.0031"
"68","235440.092727","891576.912627"
"68","235451.95694","891565.545601"
"69","234572.273336","890910.266203"
"69","234603.154536","890924.308203"
"70","236334.183654","892128.477092"
"70","236352.688976","892186.161278"
"70","236377.165581","892255.409472"
"71","236304.759118","892041.226104"
"71","236317.619084","892078.707567"
"71","236320.213384","892087.270237"
"71","236325.935445","892103.766335"
"72","236277.385212","891964.129727"
"72","236282.154237","891974.096304"
"72","236293.210794","892010.220503"
"72","236295.763694","892016.735175"
"73","236260.5522","891940.048501"
"73","236268.4663","891950.586001"
"74","235970.977397","891517.004553"
"74","235983.537201","891527.25805"
"74","236008.044257","891549.148009"
"74","236036.663322","891580.137854"
"74","236060.798002","891606.023132"
"74","236080.735729","891633.946391"
"74","236103.362821","891669.112356"
"74","236118.553072","891693.583199"
"74","236135.224269","891717.043062"
"75","236150.44454","891738.073319"
"75","236169.270805","891763.617826"
"75","236189.676766","891799.498028"
"75","236208.39228","891843.928658"
"75","236218.957352","891869.241745"
"75","236231.754962","891894.872182"
"75","236249.24726","891920.468569"
"75","236252.705374","891926.68674"
"76","234775.924674","892009.524313"
"76","234757.18941","892020.596303"
"76","234688.361346","892077.379982"
"77","234894.072457","891936.396462"
"77","234884.326757","891942.905262"
"78","234833.595121","891974.89882"
"78","234798.280321","891996.18222"
"79","234869.126035","891952.881774"
"79","234849.085035","891965.456274"
"80","234927.295205","891916.81232"
"80","234915.975005","891923.06552"
"81","234630.98274","892132.358154"
"81","234618.41124","892140.849154"
"82","235052.26521","891851.437964"
"82","234967.119129","891895.71999"
"82","234950.118449","891904.570315"
"83","235135.503027","891810.172047"
"83","235116.367598","891818.988418"
"83","235075.36374","891839.620752"
"84","235397.083359","890653.568895"
"84","235389.934059","890641.358995"
"85","235454.5007","890751.49936"
"85","235410.2288","890676.00266"
"86","235550.776066","890881.948915"
"86","235517.261465","890846.771148"
"86","235515.338688","890844.451005"
"87","235498.718707","890824.459854"
"87","235495.058891","890820.050684"
"87","235480.958807","890797.598188"
"87","235467.500002","890773.98382"
"88","235648.118534","890985.073966"
"88","235632.707446","890970.171667"
"88","235622.292257","890958.911724"
"89","235682.257495","891015.795061"
"89","235667.333095","891002.744461"
"90","235604.632503","890939.831346"
"90","235568.554903","890900.875946"
"91","235376.935481","890618.806714"
"91","235369.498664","890605.697536"
"91","235354.873927","890584.690775"
"91","235344.471765","890572.38846"
"92","234723.395638","892102.700188"
"92","234715.295808","892104.425952"
"92","234697.068062","892109.063054"
"92","234676.254291","892115.681001"
"92","234645.028234","892126.678259"
"93","234669.46534","892094.61018"
"93","234643.43664","892120.81858"
"94","234944.439511","892071.813388"
"94","234926.355411","892074.056188"
"95","235066.631918","892055.449405"
"95","235005.630418","892064.540605"
"96","234979.701189","892067.634517"
"96","234961.201089","892069.814417"
"97","234909.708922","892076.417471"
"97","234809.346422","892091.188224"
"97","234748.661639","892098.496108"
"98","234683.270254","892071.209018"
"98","234752.58079","892014.027297"
"98","234771.854526","892002.637087"
"99","234879.883643","891936.252538"
"99","234889.629343","891929.743738"
"100","234794.150879","891989.33038"
"100","234829.465679","891968.04698"
"101","234844.833165","891958.679726"
"101","234864.874165","891946.105226"
"102","234912.106795","891916.06288"
"102","234923.426995","891909.80968"
"103","234613.93356","892134.219646"
"103","234626.50506","892125.728646"
"104","234946.424351","891897.474285"
"104","234963.426471","891888.62321"
"104","235048.57399","891844.340436"
"105","235071.76786","891832.474448"
"105","235112.894802","891811.780182"
"105","235132.155373","891802.906153"
"106","236470.353483","890199.531253"
"106","236460.361103","890204.358792"
"106","236428.949114","890225.267138"
"106","236416.259576","890232.250233"
"107","235393.817341","890639.085205"
"107","235400.966641","890651.295105"
"108","235414.1106","890673.72634"
"108","235458.3825","890749.22304"
"109","235518.803512","890841.579595"
"109","235520.626935","890843.779852"
"109","235554.034134","890878.844885"
"110","235471.409598","890771.75558"
"110","235484.820793","890795.286412"
"110","235498.711509","890817.405516"
"110","235502.181293","890821.585746"
"111","235625.595743","890955.856076"
"111","235635.925754","890967.023933"
"111","235651.246666","890981.839034"
"112","235670.295305","890999.356939"
"112","235685.219705","891012.407539"
"113","235571.856497","890897.818254"
"113","235607.934097","890936.773654"
"114","235347.908035","890569.48294"
"114","235358.446473","890581.946425"
"114","235373.310336","890603.296664"
"114","235380.849519","890616.586286"
"115","235607.724176","890591.208948"
"115","235605.972376","890495.434848"
"116","235605.289028","890469.480895"
"116","235601.418905","890356.891176"
"116","235601.437629","890353.185731"
"117","235601.048089","890327.284339"
"117","235599.052229","890270.503688"
"117","235592.235957","890051.312637"
"117","235592.267037","890050.848932"
"118","234642.370766","892119.132541"
"118","234673.712909","892108.094399"
"118","234694.867938","892101.367946"
"118","234713.475392","892096.634248"
"118","234721.728562","892094.875812"
"119","234637.76036","892115.18122"
"119","234663.78906","892088.97282"
"120","234925.370789","892066.117012"
"120","234943.454889","892063.874212"
"121","235004.451182","892056.627995"
"121","235065.452682","892047.536795"
"122","234960.264911","892061.869383"
"122","234978.765011","892059.689483"
"123","234747.705161","892090.553492"
"123","234808.285578","892083.258176"
"123","234908.544078","892068.502729"
"124","235287.484799","891354.905254"
"124","235264.081616","891353.858855"
"124","235243.777205","891352.627027"
"124","235230.585199","891347.79239"
"124","235214.168036","891336.106447"
"124","235197.006707","891319.387322"
"124","235182.79946","891306.814134"
"125","235358.113672","891362.527107"
"125","235347.361046","891360.705951"
"125","235327.948893","891358.946397"
"125","235313.190342","891357.09164"
"126","235512.671964","891421.325241"
"126","235498.797723","891413.1114"
"126","235469.696315","891399.984564"
"126","235436.087879","891381.619974"
"126","235427.104351","891377.99047"
"127","235402.776333","891370.532464"
"127","235383.688633","891367.035464"
"128","236414.090024","890228.307767"
"128","236426.613486","890221.416062"
"128","236458.125097","890200.441408"
"128","236468.395917","890195.479347"
"129","234645.782039","891980.464544"
"129","234635.904431","891967.0258"
"129","234630.595151","891955.99388"
"129","234626.349925","891942.077667"
"129","234620.283788","891895.305442"
"129","234607.690774","891787.087263"
"129","234606.845101","891772.556829"
"130","234647.257368","892000.069741"
"130","234634.072614","892012.21576"
"130","234628.132197","892018.265251"
"131","234664.654943","892075.488017"
"131","234642.748613","892055.57454"
"131","234625.988023","892037.361975"
"131","234625.210088","892036.611167"
"132","234189.794578","891244.272721"
"132","234162.559306","891235.09191"
"132","234119.896764","891215.955707"
"132","234054.213357","891186.09335"
"132","234030.133574","891175.419057"
"133","235610.471624","890495.352552"
"133","235612.223424","890591.126652"
"134","235605.937571","890353.208469"
"134","235605.919295","890356.825224"
"134","235609.786372","890469.326305"
"135","235596.756963","890051.149868"
"135","235596.740643","890051.393363"
"135","235603.549771","890270.354712"
"135","235605.545311","890327.126261"
"136","235055.712866","892131.058276"
"136","235065.275424","892094.612668"
"136","235073.552906","892061.637792"
"137","234722.147844","892094.775888"
"137","234716.813981","892093.297818"
"137","234702.619817","892090.684424"
"137","234688.016468","892087.519758"
"138","235495.959941","892126.2215"
"138","235484.448477","892120.1899"
"138","235448.904004","892103.834295"
"138","235420.316068","892090.606438"
"138","235383.7533","892075.003439"
"138","235329.7256","892060.404053"
"138","235297.498836","892054.376724"
"139","235226.820181","892046.615046"
"139","235207.700712","892045.008051"
"139","235176.716315","892046.25397"
"140","235150.854168","892047.617511"
"140","235095.985646","892051.197978"
"140","235092.332554","892051.715113"
"141","235272.134052","892050.799128"
"141","235252.669652","892048.937428"
"142","235185.78174","891303.444266"
"142","235200.069693","891316.088878"
"142","235217.059964","891332.641353"
"142","235232.701801","891343.77541"
"142","235244.707195","891348.175173"
"142","235264.318384","891349.364945"
"142","235287.685801","891350.409746"
"143","235478.048676","891169.698366"
"143","235474.606452","891169.8682"
"143","235451.136989","891169.191565"
"143","235431.880859","891167.981431"
"143","235392.763344","891165.445476"
"143","235374.711326","891162.539325"
"143","235358.01055","891157.613665"
"143","235328.057869","891146.046251"
"143","235317.173911","891140.037238"
"144","235313.751458","891352.62676"
"144","235328.432707","891354.471803"
"144","235347.940754","891356.240049"
